Fund_ID,Fund_Name,Organization_Name,Category,Fundraising_Goal_USD,Amount_Raised_USD,Start_Date,End_Date,Duration_Days,Status,Donor_Count,Average_Donation_USD,Top_Donor_Amount_USD,Currency,Fundraising_Platform,Campaign_Type,Is_Tax_Exempt,Marketing_Spend_USD,Region,Sub_Region,World_Part,Country,City,Organizer_Name,Organizer_Experience_Years,Organizer_Contact_Email,Social_Media_Reach,Media_Coverage_Score,Volunteer_Count,Fund_Transparency_Score,Repeat_Donors_Percentage,Mobile_Donations_Allowed,Payment_Gateway_Used,Fundraising_Cost_Percent,External_Funding_Received,Main_Beneficiary_Age_Group,Fundraising_Method,Comments_Count
0,Networked encompassing firmware,James LLC,Climate,186463,53821,2023-01-21,2023-07-11,171,Active,1700,31.66,127.88,AUD,Kickstarter,Offline,Yes,14673,South America,Chile,Developing,Sierra Leone,Port Troy,Jason Sullivan,1,cantrellbrian@hotmail.com,180373,17.33271238,368,5.096099283,2.764871595,No,JustGiving,24.17,No,Youth,Grants,781
1,Up-sized intangible initiative,Mccarthy-Nelson,Climate,108174,59264,2022-08-16,2022-12-08,114,Completed,236,251.12,436.08,INR,Indiegogo,Offline,Yes,93015,Asia,East Asia,Developing,Tonga,Burnstown,Aaron Ball,13,margaret27@baker.com,455687,72.87034068,260,2.071968413,98.73532299,No,Indiegogo,14.4,Yes,Children,Grants,362
2,Implemented 24/7 workforce,Mcgee Inc,Climate,498843,38845,2023-05-26,2023-10-02,129,Suspended,235,165.3,749.06,INR,JustGiving,Hybrid,Yes,18358,Oceania,Melanesia,Underdeveloped,El Salvador,Estradaview,Crystal Turner,22,pottergregory@gmail.com,472033,98.8334097,476,4.622365536,30.28726789,Yes,GoFundMe,6.83,Yes,Children,Events,844
3,Reactive 5thgeneration hardware,Burke and Sons,Climate,90840,9385,2022-04-14,2022-06-13,60,Active,1932,4.86,16,USD,Kickstarter,Offline,Yes,67825,Asia,South Asia,Developed,Honduras,West Stevenport,Mrs. Christine Nunez PhD,6,carlafrederick@gmail.com,230357,15.73683248,274,4.681925827,70.71371309,No,Indiegogo,8.08,No,Youth,Subscription,912
4,Configurable modular instruction set,Hanson Ltd,Startup,450122,340903,2023-04-27,2023-07-07,71,Active,1617,210.82,483.88,EUR,JustGiving,Hybrid,Yes,65137,Asia,East Asia,Underdeveloped,Senegal,North Joseph,Aimee Snyder,24,cody02@wilson.com,855209,67.5178696,328,6.154390052,71.11620393,Yes,Indiegogo,9.17,No,Adults,Subscription,955
5,Re-contextualized high-level secured line,Contreras PLC,Health,249221,197991,2022-07-04,2022-11-06,125,Cancelled,1596,124.05,212.97,EUR,JustGiving,Hybrid,Yes,53317,Asia,South Asia,Developed,Bulgaria,Port Sethville,Jason Peterson,1,kmoyer@yahoo.com,964006,84.73549613,253,6.170434735,18.9677561,No,JustGiving,20.39,No,Youth,Grants,793
6,Secured systemic neural-net,Sullivan-Burns,Startup,197077,102081,2023-03-10,2023-05-23,74,Active,1883,54.21,191.84,INR,Indiegogo,Online,Yes,70957,Europe,Northern Europe,Underdeveloped,Guam,North Shirley,Anne Gibson,1,lesliebrady@haynes.biz,839066,22.09309861,489,2.826706825,20.1809371,No,Indiegogo,10.85,No,Adults,Crowdfunding,105
7,Upgradable executive matrix,"Williamson, Jordan and Wright",Education,215077,199843,2023-11-29,2024-03-08,100,Active,1460,136.88,391.44,GBP,Kickstarter,Hybrid,No,22596,Europe,Northern Europe,Developing,Grenada,Lake Aaron,Sarah Ortiz,6,craig11@pearson.com,81927,8.94345068,464,0.081860717,75.58431042,No,JustGiving,3.24,No,Youth,Grants,915
8,Configurable system-worthy monitoring,Mcdonald-Hoffman,Startup,353886,93328,2022-07-23,2022-12-16,146,Suspended,464,201.14,970.21,USD,JustGiving,Hybrid,No,73918,Africa,North Africa,Developing,Slovakia (Slovak Republic),East Kimberly,Holly Henry,17,daviskelly@gmail.com,845313,31.38125524,103,3.848329569,88.31839087,No,GoFundMe,9.86,No,Elderly,Events,531
9,Configurable fresh-thinking budgetary management,Cook-Giles,Education,476595,42228,2024-01-25,2024-04-11,77,Cancelled,809,52.2,219.28,USD,Indiegogo,Online,No,23535,Europe,Southern Europe,Developed,Brazil,North Charles,Nicholas Williams,18,amyelliott@hotmail.com,241244,26.33754546,216,9.608719794,10.51701409,Yes,Indiegogo,7,No,Elderly,Events,703
